ID,Geburtsjahr,Bildungsniveau,Familienstand,Einkommen,Kinder_zu_Hause,Teenager_zu_Hause,Datum_Kunde,Letzter_Kauf_Tage,Ausgaben_Wein,Ausgaben_Obst,Ausgaben_Fleisch,Ausgaben_Fisch,Ausgaben_Süßigkeiten,Ausgaben_Gold,Anzahl_Rabattkäufe,Anzahl_Webkäufe,Anzahl_Katalogkäufe,Anzahl_Ladeneinkäufe,Anzahl_WebBesuche_Monat,Kampagne_3_Akzeptiert,Kampagne_4_Akzeptiert,Kampagne_5_Akzeptiert,Kampagne_1_Akzeptiert,Kampagne_2_Akzeptiert,Beschwerde,Z_Kontaktkostenfaktor,Z_Umsatzfaktor,Antwort_Letzte_Kampagne,Alter,Gesamtausgaben
5710,1980, Hochschulabschluss   , Zusammenlebend     ,40548.0,0,1,2022-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,45,120
7373,1962, Doktor               , Geschieden         ,46610.0,0,2,,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,63,302
8755,1956, Master               , Verheiratet        ,68657.0,0,0,,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,69,1196
10738,1961, Master               , Ledig              ,49389.0,1,1,,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,64,65
4339,1980, Doktor               , Verheiratet        ,67353.0,0,1,,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,45,913
10755,1986, Zweiter Studienzyklus, Verheiratet        ,23718.0,1,0,2023-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,39,81
8595,1983, Hochschulabschluss   , Verwitwet          ,42429.0,0,1,2024-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,42,67
2968,1953, Doktor               , Geschieden         ,48948.0,0,0,2023-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,72,902
8601,1990, Hochschulabschluss   , Verheiratet        ,80011.0,0,1,,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,35,1395
503,1995, Master               , Verheiratet        ,20559.0,1,0,2023-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,30,53
8430,1967, Hochschulabschluss   , Zusammenlebend     ,21994.0,0,1,,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,58,22
7281,1969, Doktor               , Ledig              ,51381.5,0,0,2023-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,56,186
2139,1985, Master               , Verheiratet        ,7500.0,1,0,2023-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,40,31
1371,1986, Hochschulabschluss   , Ledig              ,79941.0,0,0,,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,39,984
9909,2006, Zweiter Studienzyklus, Verheiratet        ,7500.0,0,0,2022-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,19,122
7286,1978, Hochschulabschluss   , Zusammenlebend     ,41728.0,1,0,,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,47,55
7244,1961, Hochschulabschluss   , Ledig              ,51381.5,2,1,2024-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,64,124
6566,1964, Doktor               , Verheiratet        ,72550.0,1,1,2022-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,61,1319
8614,1967, Hochschulabschluss   , Verwitwet          ,65486.0,0,1,2024-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,58,507
4114,1974, Master               , Verheiratet        ,79143.0,0,0,2022-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,51,1693
1331,1987, Hochschulabschluss   , Ledig              ,35790.0,1,0,2023-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,38,72
2225,1987, Hochschulabschluss   , Geschieden         ,82582.0,0,0,2024-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,38,1617
9381,1988, Hochschulabschluss   , Verheiratet        ,66373.0,1,1,2023-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,37,606
6260,1965, Master               , Zusammenlebend     ,82384.0,0,0,,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,60,1957
10383,1976, Hochschulabschluss   , Geschieden         ,70287.0,0,0,2023-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,49,1093
7437,1998, Hochschulabschluss   , Ledig              ,27938.0,1,0,,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,27,29
8557,1992, Hochschulabschluss   , Ledig              ,51381.5,1,0,,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,33,46
8375,1978, Doktor               , Verheiratet        ,55954.0,0,1,2024-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,47,518
6853,1992, Master               , Ledig              ,75777.0,0,0,2023-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,33,1438
3076,1985, Hochschulabschluss   , Zusammenlebend     ,66653.0,1,1,2022-07-09,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,40,612
1012,1962, Hochschulabschluss   , Ledig              ,61823.0,0,1,,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,63,884
6518,1961, Doktor               , Verwitwet          ,67680.0,0,1,2023-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,64,606
4137,1958, Hochschulabschluss   , Zusammenlebend     ,70666.0,0,0,2023-06-12,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,67,1076
8082,1981, Hochschulabschluss   , Verheiratet        ,25721.0,1,0,,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,44,34
1386,1977, Hochschulabschluss   , Zusammenlebend     ,32474.0,1,1,2024-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,48,11
9369,1989, Zweiter Studienzyklus, Ledig              ,88194.0,0,1,,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,36,1274
4477,1968, Hochschulabschluss   , Zusammenlebend     ,69096.0,0,1,,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,57,653
1357,1980, Hochschulabschluss   , Zusammenlebend     ,74854.0,1,2,2023-08-04,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,45,1562
1402,1964, Master               , Verheiratet        ,66991.0,0,0,2022-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,61,1253
10629,1983, Zweiter Studienzyklus, Verheiratet        ,51381.5,1,0,,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,42,109
6312,1969, Hochschulabschluss   , Verheiratet        ,65031.0,0,1,,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,56,863
8132,1985, Doktor               , Verheiratet        ,60631.0,1,1,2023-05-04,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,40,661
1050,1962, Hochschulabschluss   , Verheiratet        ,28332.0,0,0,,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,63,65
5846,1987, Hochschulabschluss   , Geschieden         ,40246.0,1,0,,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,38,13
1859,1982, Master               , Verheiratet        ,75251.0,0,0,,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,43,1890
7503,1986, Hochschulabschluss   , Ledig              ,75825.0,0,0,2022-12-10,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,39,2209
10401,1986, Zweiter Studienzyklus, Zusammenlebend     ,26326.0,0,0,2023-04-09,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,39,18
1618,1975, Hochschulabschluss   , Zusammenlebend     ,56046.0,0,0,2023-02-01,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,50,692
3332,1995, Hochschulabschluss   , Ledig              ,29760.0,1,0,,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,30,165
2261,1979, Hochschulabschluss   , Verheiratet        ,26304.0,1,0,,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,46,16
5346,1983, Zweiter Studienzyklus, Verheiratet        ,23559.0,1,0,2023-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,42,79
4119,1973, Master               , Zusammenlebend     ,38620.0,0,0,2023-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,52,318
535,1997, Hochschulabschluss   , Geschieden         ,81361.0,0,0,,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,28,778
5268,1970, Hochschulabschluss   , Verheiratet        ,29440.0,1,1,2023-11-08,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,55,56
273,1980, Master               , Verheiratet        ,36138.0,1,1,,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,45,151
4452,1967, Hochschulabschluss   , Ledig              ,50388.0,0,1,,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,58,372
8504,1983, Hochschulabschluss   , Verheiratet        ,79593.0,0,0,2024-12-05,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,42,1366
771,1977, Hochschulabschluss   , Zusammenlebend     ,54178.0,0,1,,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,48,194
8996,1967, Doktor               , Verheiratet        ,51381.5,2,1,,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,58,603
9235,1967, Hochschulabschluss   , Ledig              ,51381.5,1,1,,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,18
5798,1983, Master               , Zusammenlebend     ,51381.5,0,0,,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,42,985
11178,1982, Master               , Ledig              ,42394.0,1,0,,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,43,32
2230,1980, Doktor               , Verheiratet        ,23626.0,1,0,,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,45,43
7516,1993, Hochschulabschluss   , Verheiratet        ,30096.0,1,0,,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,32,45
7247,1970, Hochschulabschluss   , Verwitwet          ,47916.0,0,1,,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,55,606
11100,1982, Hochschulabschluss   , Geschieden         ,51813.0,1,1,2023-11-04,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,63
4646,1961, Zweiter Studienzyklus, Verheiratet        ,78497.0,0,0,2023-01-12,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,64,978
3037,1993, Doktor               , Verheiratet        ,50150.0,0,0,,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,32,410
1473,1970, Zweiter Studienzyklus, Ledig              ,47823.0,0,1,,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,55,72
1016,1969, Doktor               , Ledig              ,34554.0,0,1,,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56,55
4518,1989, Hochschulabschluss   , Zusammenlebend     ,85693.0,0,1,,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,36,1169
9370,1955, Doktor               , Verheiratet        ,65846.0,0,0,,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,70,1120
8908,1969, Hochschulabschluss   , Verheiratet        ,87195.0,0,0,2024-08-05,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,56,1097
8373,1989, Grundbildung         , Zusammenlebend     ,24594.0,1,0,2023-10-12,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,36,29
7533,1974, Hochschulabschluss   , Verheiratet        ,49096.0,1,1,,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,51,187
2683,1979, Hochschulabschluss   , Verheiratet        ,52413.0,0,2,2023-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,46,910
3629,1988, Hochschulabschluss   , Ledig              ,38557.0,1,0,,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,37,145
10991,1970, Master               , Verheiratet        ,89058.0,0,0,2022-07-12,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,55,850
5077,1989, Hochschulabschluss   , Zusammenlebend     ,77298.0,0,1,2023-02-11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,36,969
7431,2001, Doktor               , Ledig              ,68126.0,0,0,2022-10-11,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,24,1820
3267,1973, Master               , Zusammenlebend     ,57288.0,0,1,,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,52,608
999,2001, Hochschulabschluss   , Ledig              ,86037.0,0,0,2023-02-01,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,24,730
9215,1990, Doktor               , Verheiratet        ,43974.0,1,0,2022-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,35,551
2286,1972, Hochschulabschluss   , Ledig              ,50785.0,1,1,2023-10-09,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,53,114
1592,1980, Hochschulabschluss   , Verheiratet        ,90765.0,0,0,,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,45,1724
367,1988, Zweiter Studienzyklus, Verheiratet        ,36550.0,1,0,,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,37,577
5234,1977, Zweiter Studienzyklus, Zusammenlebend     ,30753.0,1,1,2023-11-07,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,48,81
9862,1979, Hochschulabschluss   , Zusammenlebend     ,21918.0,1,0,,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,46,33
9805,1963, Master               , Zusammenlebend     ,56129.0,0,1,,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,62,660
6205,1977, Master               , Ledig              ,32557.0,1,0,,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,48,80
8442,1995, Master               , Verheiratet        ,19510.0,2,0,2023-04-09,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,30,30
7386,1986, Hochschulabschluss   , Geschieden         ,30992.0,1,0,,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,39,43
7215,1993, Hochschulabschluss   , Ledig              ,101970.0,0,0,2023-12-03,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,32,1135
1491,1975, Zweiter Studienzyklus, Zusammenlebend     ,71488.0,0,0,,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,50,559
11071,1994, Hochschulabschluss   , Ledig              ,79607.0,0,0,,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,31,1923
3381,1963, Master               , Verheiratet        ,54348.0,1,1,2024-08-06,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,62,90
8268,1971, Doktor               , Verheiratet        ,51381.5,0,1,2023-11-07,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,54,404
11051,1966, Doktor               , Zusammenlebend     ,77376.0,1,1,2024-10-05,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,59,661
8026,1962, Hochschulabschluss   , Verheiratet        ,62998.0,0,1,,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,63,463
433,1968, Master               , Allein             ,61331.0,1,1,2023-10-03,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,57,632
9597,1979, Hochschulabschluss   , Verheiratet        ,73448.0,0,0,2024-10-02,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,46,725
1295,1973, Hochschulabschluss   , Verheiratet        ,51381.5,0,1,2023-11-08,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,52,725
5290,1974, Doktor               , Verheiratet        ,41551.0,1,1,,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,51,279
1685,1977, Doktor               , Zusammenlebend     ,62981.0,0,0,,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,48,1482
5342,1986, Grundbildung         , Geschieden         ,9548.0,1,0,2022-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,39,29
9579,1969, Doktor               , Verheiratet        ,33762.0,2,1,2023-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,56,106
7660,1983, Doktor               , Allein             ,35860.0,1,1,,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,42,49
1461,1975, Doktor               , Geschieden         ,36921.0,1,1,,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,50,38
821,2002, Master               , Ledig              ,92859.0,0,0,,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,23,2077
11084,1986, Master               , Zusammenlebend     ,65104.0,0,1,,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,39,1053
8690,1972, Hochschulabschluss   , Verheiratet        ,86111.0,0,0,,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,53,1385
2937,1984, Doktor               , Ledig              ,68352.0,0,1,,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,41,871
9701,1998, Hochschulabschluss   , Zusammenlebend     ,41883.0,1,0,,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,27,312
9949,1986, Hochschulabschluss   , Verheiratet        ,59809.0,0,2,,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,39,877
10837,1985, Hochschulabschluss   , Verheiratet        ,23957.0,1,0,,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,40,68
3120,1991, Hochschulabschluss   , Zusammenlebend     ,38547.0,1,0,,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,34,22
5885,1983, Zweiter Studienzyklus, Verheiratet        ,35688.0,2,1,,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,42,211
4050,1976, Master               , Verheiratet        ,49605.0,0,0,,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,49,127
3830,1963, Master               , Verheiratet        ,59354.0,0,2,,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,62,459
7987,1979, Hochschulabschluss   , Verheiratet        ,65747.0,0,1,2024-07-03,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,46,460
7798,1982, Zweiter Studienzyklus, Zusammenlebend     ,46344.0,0,1,,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,43,429
92,1998, Hochschulabschluss   , Allein             ,34176.0,1,0,2024-12-05,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,27,89
7055,1962, Doktor               , Zusammenlebend     ,61010.0,0,1,2022-09-10,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,63,1021
10240,1959, Hochschulabschluss   , Zusammenlebend     ,69372.0,0,0,,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,66,1381
3025,1968, Hochschulabschluss   , Ledig              ,49967.0,0,1,2023-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,57,306
9283,1988, Hochschulabschluss   , Ledig              ,60199.0,1,2,2023-12-09,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,37,18
9970,1987, Hochschulabschluss   , Zusammenlebend     ,55375.0,0,1,,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,38,162
2730,1965, Hochschulabschluss   , Ledig              ,80317.0,0,0,,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,60,1231
